Random	10x	0.28649133021728385	0.3133371815527569	0.36284829012334097
Regular	10x	0.5786810176171936	0.5657276847333516	0.5673976272950629
Regular + Phase-Shifted	10x	0.26774619468449556	0.38480295952038934	0.40955839693854434
Regular + Phase-Shifted	25x	0.32883440777652956	0.4380468895843792	0.517951590794315
Random	25x	0.33014117682155875	0.36467032693833284	0.4369724055006684
Regular	25x	0.8143273721843046	0.7842271402577773	0.78175
Regular + Phase-Shifted	50x	0.3629671019406969	0.43663088923132454	0.5733132530120483
Regular	50x	0.9393051243781094	0.917273187655449	0.9146
Random	50x	0.35735095945996803	0.39689734560934425	0.48092539544326945
Regular	75x	0.9715199999999999	0.965703768844221	0.9639399999999999
Random	75x	0.37132505282792444	0.4088241703747261	0.4954005370114607
Regular + Phase-Shifted	75x	0.37078313253012046	0.42374697850426507	0.5842530120481928
Random	100x	0.37560186139899243	0.41433229341105016	0.4996460194203623
Regular + Phase-Shifted	100x	0.37357831325301205	0.4137909963206117	0.5866987951807229
Regular	100x	0.98009	0.9846349246231155	0.98488
Regular	200x	0.98221	0.9991599999999999	0.9990800000000001
Random	200x	0.38291266064282237	0.4254956612070253	0.5077501432769237
Regular + Phase-Shifted	200x	0.3753975903614457	0.3954698795180723	0.5775180722891566
